k;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20			
1;90,03;135,0;164,3;185,6;202,2;215,8;227,2;237,0;245,6;253,2;260,0;266,2;271,8;277,0;281,8;286,3;290,4;294,3;298,0			
2;14,04;19,02;22,29;24,72;26,63;28,20;29,53;30,68;31,69;32,59;33,40;34,13;34,81;35,43;36,00;36,53;37,03;37,50;37,95			
3;8,26;10,62;12,17;13,33;14,24;15,00;15,64;16,20;16,69;17,13;17,53;17,89;18,22;18,52;18,81;19,07;19,32;19,55;19,77		
4;6,51;8,12;9,17;9,96;10,58;11,10;11,55;11,93;12,27;12,57;12,84;13,09;13,32;13,53;13,73;13,91;14,08;14,24;14,40			
5;5,70;6,98;7,80;8,42;8,91;9,32;9,67;9,97;10,24;10,48;10,70;10,89;11,08;11,24;11,40;11,55;11,68;11,81;11,93		
6;5,24;6,33;7,03;7,56;7,97;8,32;8,61;8,87;9,10;9,30;9,48;9,65;9,81;9,95;10,08;10,21;10,32;10,43;10,54		
7;4,95;5,92;6,54;7,01;7,37;7,68;7,94;8,17;8,37;8,55;8,71;8,86;9,00;9,12;9,24;9,35;9,46;9,55;9,65		
8;4,75;5,64;6,20;6,62;6,96;7,24;7,47;7,68;7,86;8,03;8,18;8,31;8,44;8,55;8,66;8,76;8,85;8,94;9,03			
9;4,60;5,43;5,96;6,35;6,66;6,91;7,13;7,33;7,49;7,65;7,78;7,91;8,03;8,13;8,23;8,33;8,41;8,49;8,57			
10;4,48;5,27;5,77;6,14;6,43;6,67;6,87;7,05;7,21;7,36;7,49;7,60;7,71;7,81;7,91;7,99;8,08;8,15;8,23			
11;4,39;5,15;5,62;5,97;6,25;6,48;6,67;6,84;6,99;7,13;7,25;7,36;7,46;7,56;7,65;7,73;7,81;7,88;7,95			
12;4,32;5,05;5,50;5,84;6,10;6,32;6,51;6,67;6,81;6,94;7,06;7,17;7,26;7,36;7,44;7,52;7,59;7,66;7,73			
13;4,26;4,96;5,40;5,73;5,98;6,19;6,37;6,53;6,67;6,79;6,90;7,01;7,10;7,19;7,27;7,35;7,42;7,48;7,55			
14;4,21;4,89;5,32;5,63;5,88;6,08;6,26;6,41;6,54;6,66;6,77;6,87;6,96;7,05;7,13;7,20;7,27;7,33;7,39			
15;4,17;4,84;5,25;5,56;5,80;5,99;6,16;6,31;6,44;6,55;6,66;6,76;6,84;6,93;7,00;7,07;7,14;7,20;7,26			
16;4,13;4,79;5,19;5,49;5,72;5,92;6,08;6,22;6,35;6,46;6,56;6,66;6,74;6,82;6,90;6,97;7,03;7,09;7,15			
17;4,10;4,74;5,14;5,43;5,66;5,85;6,01;6,15;6,27;6,38;6,48;6,57;6,66;6,73;6,81;6,87;6,94;7,00;7,05			
18;4,07;4,70;5,09;5,38;5,60;5,79;5,94;6,08;6,20;6,31;6,41;6,50;6,58;6,65;6,73;6,79;6,85;6,91;6,97			
19;4,05;4,67;5,05;5,33;5,55;5,73;5,89;6,02;6,14;6,25;6,34;6,43;6,51;6,58;6,65;6,72;6,78;6,84;6,89			
20;4,02;4,64;5,02;5,29;5,51;5,69;5,84;5,97;6,09;6,19;6,28;6,37;6,45;6,52;6,59;6,65;6,71;6,77;6,82	
----------------		
24;3,96;4,55;4,91;5,17;5,37;5,54;5,69;5,81;5,92;6,02;6,11;6,19;6,26;6,33;6,39;6,45;6,51;6,56;6,61			
30;3,89;4,45;4,80;5,05;5,24;5,40;5,54;5,65;5,76;5,85;5,93;6,01;6,08;6,14;6,20;6,26;6,31;6,36;6,41			
40;3,82;4,37;4,70;4,93;5,11;5,26;5,39;5,50;5,60;5,69;5,76;5,83;5,90;5,96;6,02;6,07;6,12;6,16;6,21			
60;3,76;4,28;4,59;4,82;4,99;5,13;5,25;5,36;5,45;5,53;5,60;5,67;5,73;5,78;5,84;5,89;5,93;5,97;6,01			
120;3,70;4,20;4,50;4,71;4,87;5,01;5,12;5,21;5,30;5,37;5,44;5,50;5,56;5,61;5,66;5,71;5,75;5,79;5,83			
