k;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
1;17,97;26,98;32,82;37,08;40,41;43,12;45,40;47,36;49,07;50,59;51,96;53,20;54,33;55,36;56,32;57,22;58,04;58,83;59,56
2;6,08;8,33;9,80;10,88;11,74;12,44;13,03;13,54;13,99;14,39;14,75;15,08;15,38;15,65;15,91;16,14;16,37;16,57;16,77
3;4,50;5,91;6,82;7,50;8,04;8,48;8,85;9,18;9,46;9,72;9,95;10,15;10,35;10,53;10,69;10,84;10,98;11,11;11,24
4;3,93;5,04;5,76;6,29;6,71;7,05;7,35;7,60;7,83;8,03;8,21;8,37;8,52;8,66;8,79;8,91;9,03;9,13;9,23
5;3,64;4,60;5,22;5,67;6,03;6,33;6,58;6,80;6,99;7,17;7,32;7,47;7,60;7,72;7,83;7,93;8,03;8,12;8,21
6;3,46;4,34;4,90;5,30;5,63;5,90;6,12;6,32;6,49;6,65;6,79;6,92;7,03;7,14;7,24;7,34;7,43;7,51;7,59
7;3,34;4,16;4,68;5,06;5,36;5,61;5,82;6,00;6,16;6,30;6,43;6,55;6,66;6,76;6,85;6,94;7,02;7,10;7,17
8;3,26;4,04;4,53;4,89;5,17;5,40;5,60;5,77;5,92;6,05;6,18;6,29;6,39;6,48;6,57;6,65;6,73;6,80;6,87
9;3,20;3,95;4,41;4,76;5,02;5,24;5,43;5,59;5,74;5,87;5,98;6,09;6,19;6,28;6,36;6,44;6,51;6,58;6,64
10;3,15;3,88;4,33;4,65;4,91;5,12;5,30;5,46;5,60;5,72;5,83;5,93;6,03;6,11;6,19;6,27;6,34;6,40;6,47
11;3,11;3,82;4,26;4,57;4,82;5,03;5,20;5,35;5,49;5,61;5,71;5,81;5,90;5,98;6,06;6,13;6,20;6,27;6,33
12;3,08;3,77;4,20;4,51;4,75;4,95;5,12;5,27;5,39;5,51;5,61;5,71;5,80;5,88;5,95;6,02;6,09;6,15;6,21
13;3,06;3,73;4,15;4,45;4,69;4,88;5,05;5,19;5,32;5,43;5,53;5,63;5,71;5,79;5,86;5,93;5,99;6,05;6,11
14;3,03;3,70;4,11;4,41;4,64;4,83;4,99;5,13;5,25;5,36;5,46;5,55;5,64;5,71;5,79;5,85;5,91;5,97;6,03
15;3,01;3,67;4,08;4,37;4,59;4,78;4,94;5,08;5,20;5,31;5,40;5,49;5,57;5,65;5,72;5,78;5,85;5,90;5,96
16;3,00;3,65;4,05;4,33;4,56;4,74;4,90;5,03;5,15;5,26;5,35;5,44;5,52;5,59;5,66;5,73;5,79;5,84;5,90
17;2,98;3,63;4,02;4,30;4,52;4,70;4,86;4,99;5,11;5,21;5,31;5,39;5,47;5,54;5,61;5,67;5,73;5,79;5,84
18;2,97;3,61;4,00;4,28;4,49;4,67;4,82;4,96;5,07;5,17;5,27;5,35;5,43;5,50;5,57;5,63;5,69;5,74;5,79
19;2,96;3,59;3,98;4,25;4,47;4,65;4,79;4,92;5,04;5,14;5,23;5,31;5,39;5,46;5,53;5,59;5,65;5,70;5,75
20;2,95;3,58;3,96;4,23;4,45;4,62;4,77;4,90;5,01;5,11;5,20;5,28;5,36;5,43;5,49;5,55;5,61;5,66;5,71
----------------------
24;2,92;3,53;3,90;4,17;4,37;4,54;4,68;4,81;4,92;5,01;5,10;5,18;5,25;5,32;5,38;5,44;5,49;5,55;5,59
30;2,89;3,49;3,85;4,10;4,30;4,46;4,60;4,72;4,82;4,92;5,00;5,08;5,15;5,21;5,27;5,33;5,38;5,43;5,47
40;2,86;3,44;3,79;4,04;4,23;4,39;4,52;4,63;4,73;4,82;4,90;4,98;5,04;5,11;5,16;5,22;5,27;5,31;5,36
60;2,83;3,40;3,74;3,98;4,16;4,31;4,44;4,55;4,65;4,73;4,81;4,88;4,94;5,00;5,06;5,11;5,15;5,20;5,24
120;2,80;3,36;3,68;3,92;4,10;4,24;4,36;4,47;4,56;4,64;4,71;4,78;4,84;4,90;4,95;5,00;5,04;5,09;5,13
